file_path	sub_id	cohort	gait_event	side	ref	pred
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	1030.0	1031.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	1131.0	1131.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	1227.0	1227.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	1327.0	1327.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	1427.0	1427.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	1527.0	1528.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	1627.0	1627.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	1726.0	1726.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	1823.0	1824.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	1923.0	1923.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	2031.0	2032.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	2133.0	2134.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	2234.0	2235.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	2336.0	2338.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	2443.0	2443.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	2542.0	2541.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	2641.0	2641.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	2733.0	2734.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	2835.0	2834.0
